NAMESPACE            LAST SEEN   TYPE      REASON              OBJECT                                          MESSAGE
jenkins-bot          13m         Normal    Pulled              pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Container image "harbor-core.olivedigital.tech/library/sonar-scanner-with-maven:4.7" already present on machine
jenkins-bot          13m         Normal    Started             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Started container maven
jenkins-bot          13m         Normal    Started             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Started container sonar-scanner-cli
jenkins-bot          13m         Normal    Created             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Created container maven
jenkins-bot          13m         Normal    Started             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Started container jnlp
jenkins-bot          13m         Normal    Created             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Created container jnlp
jenkins-bot          13m         Normal    Pulled              pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Container image "jenkins/inbound-agent:4.11-1-jdk11" already present on machine
jenkins-bot          13m         Normal    Started             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Started container kubectl
jenkins-bot          13m         Normal    Started             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Started container kaniko
jenkins-bot          13m         Normal    Pulled              pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Container image "gcr.io/kaniko-project/executor:v1.5.1-debug" already present on machine
jenkins-bot          13m         Normal    Pulled              pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Container image "maven:3.8.5-jdk-8" already present on machine
jenkins-bot          13m         Normal    Created             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Created container kaniko
team-nova            12m         Normal    Scheduled           pod/atwcoreis-686ddd4fc9-5wgxz                  Successfully assigned team-nova/atwcoreis-686ddd4fc9-5wgxz to devk8sworker05
team-nova            12m         Normal    ScalingReplicaSet   deployment/atwcoreis                            Scaled up replica set atwcoreis-686ddd4fc9 to 1
team-nova            12m         Normal    SuccessfulCreate    replicaset/atwcoreis-686ddd4fc9                 Created pod: atwcoreis-686ddd4fc9-5wgxz
team-nova            12m         Normal    Created             pod/atwcoreis-686ddd4fc9-5wgxz                  Created container mount-skywalking-agent
